Model year,Make,Model,Vehicle size,Range (km),CO2 emissions (g/km),Recharge time (h)
2017,Tesla ,Model S P100D,Medium,507,0,12.0
2017,Tesla ,Model X 60D,Large,322,0,10.0
2017,Tesla ,Model X 75D,Large,383,0,12.0
2017,Tesla ,Model X 90D,Large,414,0,12.0
2017,Tesla ,Model X 100D,Large,475,0,12.0
2017,Tesla ,Model X P90D,Large,402,0,12.0
2017,Tesla ,Model X P100D,Large,465,0,12.0
2017,Volkswagen,e-Golf,Small,201,0,5.3
2018,BMW,i3,Small,183,0,5.0
2018,BMW,i3s,Small,172,0,5.0
2018,Chevrolet,Bolt EV,Large,383,0,9.3
2018,Ford,Focus Electric,Small,185,0,5.5
2018,Hyundai,IONIQ Electric,Medium,200,0,4.0
2018,Kia,Soul EV,Large,179,0,5.0
2018,Nissan,LEAF,Medium,242,0,8.0
2018,smart,fortwo electric drive cabriolet,Large,92,0,3.0
2018,smart,fortwo electric drive coupe,Large,93,0,3.0
2018,Tesla,Model 3 Mid Range,Medium,418,0,10.0
2018,Tesla,Model 3 Long Range,Medium,499,0,10.0
2018,Tesla,Model 3 Long Range AWD,Medium,499,0,10.0
2018,Tesla,Model 3 Long Range AWD Performance,Medium,499,0,10.0
2018,Tesla,Model S (75 kWh),Medium,401,0,12.0
2018,Tesla,Model S 75D,Medium,417,0,12.0
2018,Tesla,Model S 100D,Medium,539,0,12.0
2018,Tesla,Model S P100D,Medium,507,0,12.0
2018,Tesla,Model X 75D,Large,383,0,12.0
2018,Tesla,Model X 100D,Large,475,0,12.0
2018,Tesla,Model X P100D,Large,465,0,12.0
2018,Volkswagen,e-Golf,Small,201,0,5.3
2019,Audi,e-tron 55 quattro,Large,329,0,10.0
2019,BMW,i3 (120 Ah),Small,246,0,7.0
2019,BMW,i3s (120 Ah),Small,246,0,7.0
2019,Chevrolet,Bolt EV,Large,383,0,9.3
2019,Hyundai,IONIQ Electric,Medium,200,0,4.0
2019,Hyundai,Kona Electric,Large,415,0,9.0
2019,Jaguar,I-PACE,Large,377,0,13.0
2019,Kia,Niro EV,Large,385,0,9.5
2019,Kia,Soul EV,Large,179,0,5.0
2019,Nissan,LEAF (40 kWh),Medium,243,0,8.0
2019,Nissan,LEAF S PLUS,Medium,363,0,11.0
2019,Nissan,LEAF SV/SL PLUS,Medium,349,0,11.0
2019,smart EQ,fortwo cabriolet,Large,92,0,3.0
2019,smart EQ,fortwo coupe,Large,93,0,3.0
2019,Tesla,Model 3 Standard Range,Medium,151,0,3.7
2019,Tesla,Model 3 Standard Range Plus,Medium,386,0,8.5
2019,Tesla,Model 3 Mid Range,Medium,425,0,10.0
2019,Tesla,Model 3 Long Range,Medium,499,0,10.0
2019,Tesla,Model 3 Long Range AWD,Medium,499,0,10.0
2019,Tesla,Model 3 Long Range AWD Performance,Medium,499,0,10.0
2019,Tesla,Model S 75D,Medium,417,0,12.0
2019,Tesla,Model S 100D,Medium,539,0,12.0
2019,Tesla,Model S P100D,Medium,507,0,12.0
2019,Tesla,Model S Standard Range,Medium,459,0,9.0
2019,Tesla,Model S Long Range,Medium,595,0,12.0
2019,Tesla,"Model S Performance (19"" Wheels)",Medium,555,0,12.0
2019,Tesla,"Model S Performance (21"" Wheels)",Medium,523,0,12.0
2019,Tesla,Model X 75D,Large,383,0,12.0
2019,Tesla,Model X 100D,Large,475,0,12.0
2019,Tesla,Model X P100D,Large,465,0,12.0
2019,Tesla,Model X Standard Range,Large,410,0,9.0
2019,Tesla,Model X Long Range,Large,523,0,12.0
2019,Tesla,"Model X Performance (20"" Wheels)",Large,491,0,12.0
2019,Tesla,"Model X Performance (22"" Wheels)",Large,435,0,12.0
2019,Volkswagen,e-Golf,Small,201,0,5.3
2020,Audi,e-tron Sportback 55 quattro,Large,351,0,10.0
2020,BMW,i3 (120 Ah),Small,246,0,7.0
2020,BMW,i3s (120 Ah),Small,246,0,7.0
2020,Chevrolet,Bolt EV,Large,417,0,10.0
2020,Hyundai,IONIQ Electric,Medium,274,0,5.8
2020,Hyundai,Kona Electric,Large,415,0,9.0
2020,Jaguar,I-PACE,Large,377,0,13.0
2020,Kia,Niro EV,Large,385,0,9.5
2020,Kia,Soul EV (120 Ah),Large,248,0,6.0
2020,Kia,Soul EV (180 Ah),Large,383,0,9.5
2020,MINI,Cooper SE 3 Door,Small,177,0,4.0
2020,Nissan,LEAF (40 kWh),Medium,240,0,8.0
2020,Nissan,LEAF S PLUS,Medium,363,0,11.0
2020,Nissan,LEAF SV/SL PLUS,Medium,349,0,11.0
2020,Porsche,Taycan 4S (Performance Battery Plus),Small,327,0,10.5
2020,Porsche,Taycan Turbo,Small,323,0,10.0
2020,Porsche,Taycan Turbo S,Small,309,0,10.5
2020,Tesla,Model 3 Standard Range,Medium,151,0,3.7
2020,Tesla,Model 3 Standard Range Plus,Medium,402,0,8.5
2020,Tesla,Model 3 Mid Range,Medium,425,0,10.0
2020,Tesla,Model 3 Long Range,Medium,531,0,10.0
2020,Tesla,Model 3 Long Range AWD,Medium,518,0,10.0
2020,Tesla,"Model 3 Long Range AWD Performance (18"" Wheels)",Medium,518,0,10.0
2020,Tesla,"Model 3 Long Range AWD Performance (19"" Wheels)",Medium,489,0,10.0
2020,Tesla,"Model 3 Long Range AWD Performance (20"" Wheels)",Medium,481,0,10.0
2020,Tesla,Model S Standard Range,Medium,462,0,9.0
2020,Tesla,Model S Long Range,Medium,600,0,12.0
2020,Tesla,Model S Long Range Plus (pre-15/6/20),Medium,629,0,12.0
2020,Tesla,Model S Long Range Plus,Medium,647,0,12.0
2020,Tesla,"Model S Performance (19"" Wheels)",Medium,560,0,12.0
2020,Tesla,"Model S Performance (21"" Wheels)",Medium,525,0,12.0
2020,Tesla,Model X Standard Range,Large,415,0,9.0
2020,Tesla,Model X Long Range,Large,528,0,12.0
2020,Tesla,Model X Long Range Plus,Large,565,0,12.0
2020,Tesla,"Model X Performance (20"" Wheels)",Large,491,0,12.0
2020,Tesla,"Model X Performance (22"" Wheels)",Large,438,0,12.0
2020,Tesla,Model Y Long Range AWD,Large,509,0,10.0
2020,Tesla,Model Y Performance,Large,507,0,10.0
2020,Tesla,"Model Y Performance (21"" Wheels)",Large,468,0,10.0
2020,Volkswagen,e-Golf,Small,198,0,5.3
2021,Audi,e-tron 55 quattro,Large,357,0,10.0
2021,Audi,e-tron Sportback 55 quattro,Large,351,0,10.0
2021,BMW,i3 (120 Ah),Small,246,0,7.0
2021,BMW,i3s (120 Ah),Small,246,0,7.0
2021,Chevrolet,Bolt EV,Large,417,0,10.0
2021,Ford,Mustang Mach-E Standard Range,Large,370,0,8.8
2021,Ford,Mustang Mach-E Standard Range AWD,Large,340,0,8.5
2021,Ford,"Mustang Mach-E Extended Range (19"" Wheels)",Large,483,0,10.9
2021,Ford,Mustang Mach-E Extended Range AWD,Large,435,0,10.7
2021,Ford,Mustang Mach-E California Route 1,Large,491,0,11.4
2021,Ford,Mustang Mach-E GT Performance Edition,Large,418,0,10.1
2021,Hyundai,IONIQ Electric,Medium,274,0,5.8
2021,Hyundai,Kona Electric,Large,415,0,9.0
2021,Kia,Niro EV,Large,385,0,9.5
2021,Kia,Soul EV (120 Ah),Large,248,0,6.0
2021,Kia,Soul EV (180 Ah),Large,383,0,9.5
2021,MINI,Cooper SE 3 Door,Small,177,0,4.0
2021,Nissan,LEAF (40 kWh),Medium,240,0,8.0
2021,Nissan,LEAF S PLUS,Medium,363,0,11.0
2021,Nissan,LEAF SV/SL PLUS,Medium,349,0,11.0
2021,Polestar,2,Medium,375,0,8.0
2021,Porsche,Taycan 4 Cross Turismo,Medium,346,0,10.5
2021,Porsche,Taycan 4S (Performance Battery),Small,320,0,9.5
2021,Porsche,Taycan 4S (Performance Battery Plus),Small,365,0,10.5
2021,Porsche,Taycan 4S Cross Turismo,Medium,346,0,10.5
2021,Porsche,Taycan Turbo,Small,341,0,10.5
2021,Porsche,Taycan Turbo Cross Turismo,Medium,328,0,10.5
2021,Porsche,Taycan Turbo S,Small,323,0,10.5
2021,Porsche,Taycan Turbo S Cross Turismo,Medium,325,0,10.5
2021,Tesla,Model 3 Standard Range,Medium,151,0,3.7
2021,Tesla,Model 3 Standard Range Plus,Medium,423,0,8.5
2021,Tesla,Model 3 Long Range AWD,Medium,568,0,10.0
2021,Tesla,Model 3 Performance,Medium,507,0,10.0
2021,Tesla,Model S Long Range,Medium,652,0,15.0
2021,Tesla,Model S Long Range Plus,Medium,629,0,12.0
2021,Tesla,"Model S Performance (19"" Wheels)",Medium,623,0,12.0
2021,Tesla,"Model S Performance (21"" Wheels)",Medium,538,0,12.0
2021,Tesla,"Model S Plaid (19"" Wheels)",Medium,637,0,15.0
2021,Tesla,"Model S Plaid (21"" Wheels)",Medium,560,0,15.0
2021,Tesla,Model X Long Range,Large,560,0,14.0
2021,Tesla,Model X Long Range Plus,Large,597,0,12.0
2021,Tesla,"Model X Performance (20"" Wheels)",Large,549,0,12.0
2021,Tesla,"Model X Performance (22"" Wheels)",Large,483,0,12.0
2021,Tesla,Model Y Standard Range,Large,393,0,8.0
2021,Tesla,Model Y Long Range AWD,Large,525,0,10.0
2021,Tesla,Model Y Performance,Large,488,0,10.0
2021,Volkswagen,ID.4 Pro,Large,400,0,7.5
2021,Volkswagen,ID.4 AWD Pro,Large,386,0,7.5
2021,Volvo,XC40 Recharge,Large,335,0,8.0
2022,Audi,e-tron 55 quattro,Large,357,0,10.0
2022,Audi,e-tron Sportback 55 quattro,Large,351,0,10.0
2022,Audi,"e-tron S Sportback quattro (20"" Wheels)",Large,341,0,10.0
2022,Audi,"e-tron S Sportback quattro (21"" or 22"" Wheels)",Large,298,0,10.0
2022,Audi,e-tron GT,Small,383,0,10.5
2022,Audi,RS e-tron GT,Small,373,0,10.5
2022,Audi,Q4 50 e-tron quattro,Large,388,0,9.0
2022,Audi,Q4 50 e-tron Sportback quattro,Large,388,0,9.0
2022,BMW,"i4 eDrive40 (18"" Wheels)",Small,484,0,10.0
2022,BMW,"i4 eDrive40 (19"" Wheels)",Small,454,0,10.0
2022,BMW,"i4 M50 xDrive (19"" Wheels)",Small,435,0,10.0
2022,BMW,"i4 M50 xDrive (20"" Wheels)",Small,365,0,10.0
2022,BMW,"iX xDrive50 (20"" Wheels)",Large,521,0,12.0
2022,BMW,"iX xDrive50 (21"" Wheels)",Large,491,0,12.0
2022,BMW,"iX xDrive50 (22"" Wheels)",Large,507,0,12.0
2022,Chevrolet,Bolt EUV,Large,397,0,7.5
2022,Chevrolet,Bolt EV,Large,417,0,7.5
2022,Ford,F-150 Lightning Standard Range,Large,370,0,11.8
2022,Ford,F-150 Lightning Extended Range,Large,515,0,10.1
2022,Ford,F-150 Lightning Platinum,Large,483,0,9.3
2022,Ford,Mustang Mach-E Standard Range,Large,397,0,8.1
2022,Ford,Mustang Mach-E Standard Range AWD,Large,360,0,8.0
2022,Ford,Mustang Mach-E Extended Range,Large,488,0,10.9
2022,Ford,Mustang Mach-E Extended Range AWD,Large,446,0,10.7
2022,Ford,Mustang Mach-E California Route 1,Large,505,0,11.4
2022,Ford,Mustang Mach-E California Route 1 AWD,Large,502,0,10.1
2022,Ford,Mustang Mach-E GT Performance Edition,Large,418,0,10.1
2022,Hyundai,IONIQ 5 Standard Range,Medium,354,0,6.3
2022,Hyundai,IONIQ 5 Long Range,Medium,488,0,8.5
2022,Hyundai,IONIQ 5 Long Range AWD,Medium,414,0,8.5
2022,Hyundai,Kona Electric,Large,415,0,9.5
2022,Jaguar,I-PACE,Large,357,0,13.0
2022,Kia,EV6 Standard Range,Large,373,0,6.3
2022,Kia,EV6 Long Range,Large,499,0,8.7
2022,Kia,EV6 Long Range AWD,Large,441,0,8.4
2022,Kia,Niro EV,Large,385,0,9.5
2022,Kia,Soul EV (120 Ah),Large,248,0,6.0
2022,Kia,Soul EV (180 Ah),Large,383,0,9.5
2022,Lucid,"Air Dream P AWD (19"" Wheels)",Medium,758,0,13.0
2022,Lucid,"Air Dream P AWD (21"" Wheels)",Medium,726,0,13.0
2022,Lucid,"Air Dream R AWD (19"" Wheels)",Medium,837,0,13.0
2022,Lucid,"Air Dream R AWD (21"" Wheels)",Medium,774,0,13.0
2022,Lucid,"Air Grand Touring AWD (19"" Wheels)",Medium,830,0,13.0
2022,Lucid,"Air Grand Touring AWD (21"" Wheels)",Medium,755,0,13.0
2022,Mazda,MX-30,Medium,161,0,5.3
2022,Mercedes-Benz,EQB 350 4MATIC SUV,Large,365,0,7.5
2022,Mercedes-Benz,EQS 580 4MATIC Sedan,Medium,547,0,11.25
2022,MINI,Cooper SE 3 Door,Small,183,0,4.0
2022,Nissan,LEAF (40 kWh),Medium,240,0,8.0
2022,Nissan,LEAF S PLUS,Medium,363,0,11.0
2022,Nissan,LEAF SV/SL PLUS,Medium,349,0,11.0
2022,Polestar,2 Single Motor,Medium,435,0,8.0
2022,Polestar,2 Dual Motor,Medium,401,0,8.0
2022,Porsche,Taycan 4 Cross Turismo,Medium,346,0,10.5
2022,Porsche,Taycan 4S (Performance Battery),Small,320,0,9.5
2022,Porsche,Taycan 4S (Performance Battery Plus),Small,365,0,10.5
2022,Porsche,Taycan 4S Cross Turismo,Medium,346,0,10.5
2022,Porsche,Taycan GTS,Small,396,0,10.5
2022,Porsche,Taycan GTS Sport Turismo,Small,375,0,10.5
2022,Porsche,Taycan Turbo,Small,341,0,10.5
2022,Porsche,Taycan Turbo Cross Turismo,Medium,328,0,10.5
2022,Porsche,Taycan Turbo S,Small,323,0,10.5
2022,Porsche,Taycan Turbo S Cross Turismo,Medium,325,0,10.5
2022,Rivian,R1S,Large,509,0,13.0
2022,Rivian,R1T,Large,505,0,13.0
2022,Tesla,Model 3 Standard Range,Medium,146,0,3.7
2022,Tesla,Model 3 RWD,Medium,438,0,8.5
2022,Tesla,Model 3 Long Range AWD,Medium,576,0,10.0
2022,Tesla,Model 3 Performance,Medium,507,0,10.0
2022,Tesla,Model S,Medium,652,0,15.0
2022,Tesla,"Model S Plaid (19"" Wheels)",Medium,637,0,15.0
2022,Tesla,"Model S Plaid (21"" Wheels)",Medium,560,0,15.0
2022,Tesla,Model X,Large,560,0,14.0
2022,Tesla,"Model X Plaid (20"" Wheels)",Large,536,0,14.0
2022,Tesla,"Model X Plaid (22"" Wheels)",Large,500,0,14.0
2022,Tesla,Model Y AWD,Large,449,0,9.0
2022,Tesla,Model Y Long Range AWD,Large,531,0,10.0
2022,Tesla,Model Y Performance,Large,488,0,10.0
2022,Volkswagen,ID.4 Pro,Large,422,0,7.5
2022,Volkswagen,ID.4 AWD Pro,Large,394,0,7.5
2022,Volvo,C40 Recharge Twin,Large,364,0,8.0
2022,Volvo,XC40 Recharge Twin,Large,359,0,8.0
2023,Audi,e-tron 55 quattro,Large,364,0,10.0
2023,Audi,e-tron Sportback 55 quattro,Large,362,0,10.0
2023,Audi,e-tron GT,Small,383,0,10.5
2023,Audi,RS e-tron GT,Small,373,0,10.5
2023,Audi,Q4 50 e-tron quattro,Large,380,0,9.0
2023,Audi,Q4 Sportback 50 e-tron quattro,Large,389,0,9.0
2023,BMW,"i4 eDrive35 Gran Coupe (18"" Wheels)",Small,412,0,8.0
2023,BMW,"i4 eDrive35 Gran Coupe (19"" Wheels)",Small,378,0,8.0
2023,BMW,"i4 eDrive40 Gran Coupe (18"" Wheels)",Small,484,0,10.0
2023,BMW,"i4 eDrive40 Gran Coupe (19"" Wheels)",Small,454,0,10.0
2023,BMW,"i4 M50 Gran Coupe (19"" Wheels)",Small,436,0,10.0
2023,BMW,"i4 M50 Gran Coupe (20"" Wheels)",Small,365,0,10.0
2023,BMW,"i7 xDrive60 (19"" Wheels)",Medium,512,0,12.0
2023,BMW,"i7 xDrive60 (20"" Wheels)",Medium,476,0,12.0
2023,BMW,"i7 xDrive60 (21"" Wheels)",Medium,496,0,12.0
2023,BMW,"iX xDrive40 (20"" Wheels) ",Large,322,0,8.0
2023,BMW,"iX xDrive40 (21"" Wheels) ",Large,322,0,8.0
2023,BMW,"iX xDrive40 (22"" Wheels) ",Large,320,0,8.0
2023,BMW,"iX xDrive50 (20"" Wheels)",Large,521,0,12.0
2023,BMW,"iX xDrive50 (21"" Wheels)",Large,496,0,12.0
2023,BMW,"iX xDrive50 (22"" Wheels)",Large,512,0,12.0
2023,BMW,"iX M60 (21"" Wheels)",Large,463,0,12.0
2023,BMW,"iX M60 (22"" Wheels)",Large,441,0,12.0
2023,Cadillac,LYRIQ,Large,502,0,6.5
2023,Cadillac,LYRIQ AWD,Large,494,0,10.7
2023,Chevrolet,Bolt EUV,Large,397,0,7.5
2023,Chevrolet,Bolt EV,Large,417,0,7.5
2023,Fisker,Ocean Extreme/One,Large,579,0,18.0
2023,Fisker,Ocean Ultra,Large,563,0,18.0
2023,Ford,F-150 Lightning Standard Range,Large,386,0,11.9
2023,Ford,F-150 Lightning Extended Range,Large,515,0,10.1
2023,Ford,F-150 Lightning Platinum,Large,483,0,9.3
2023,Ford,Mustang Mach-E Standard Range,Large,397,0,8.1
2023,Ford,Mustang Mach-E Standard Range (LFP),Large,402,0,7.4
2023,Ford,Mustang Mach-E Standard Range AWD,Large,360,0,8.0
2023,Ford,Mustang Mach-E Standard Range AWD (LFP),Large,370,0,7.4
2023,Ford,Mustang Mach-E Extended Range,Large,500,0,10.2
2023,Ford,Mustang Mach-E Extended Range AWD,Large,467,0,10.0
2023,Ford,Mustang Mach-E California Route 1 AWD,Large,502,0,10.1
2023,Ford,Mustang Mach-E GT Performance Edition,Large,418,0,10.1
2023,Genesis,Electrified G80,Medium,454,0,9.0
2023,Genesis,GV60 Advanced AWD,Medium,399,0,7.2
2023,Genesis,GV60 Performance AWD,Medium,378,0,7.2
2023,Genesis,Electrified GV70,Large,383,0,7.9
2023,Hyundai,IONIQ 5 Standard Range,Medium,354,0,6.3
2023,Hyundai,IONIQ 5 Long Range,Medium,488,0,8.5
2023,Hyundai,IONIQ 5 Long Range AWD,Medium,422,0,8.5
2023,Hyundai,IONIQ 6 Standard Range,Medium,386,0,6.1
2023,Hyundai,IONIQ 6 Long Range (18'' Wheels),Medium,581,0,7.5
2023,Hyundai,IONIQ 6 Long Range AWD (18'' Wheels),Medium,509,0,7.5
2023,Hyundai,IONIQ 6 Long Range AWD (20'' Wheels),Medium,435,0,7.5
2023,Hyundai,Kona Electric,Large,415,0,9.5
2023,Jaguar,I-PACE,Large,381,0,13.0
2023,Kia,EV6 Standard Range,Large,373,0,6.3
2023,Kia,EV6 Long Range,Large,499,0,8.7
2023,Kia,"EV6 Long Range AWD (19"" Wheels)",Large,454,0,8.4
2023,Kia,"EV6 Long Range AWD (20"" Wheels)",Large,406,0,8.4
2023,Kia,EV6 GT AWD,Large,332,0,8.9
2023,Kia,Niro EV,Large,407,0,7.5
2023,Kia,Soul EV (120 Ah),Large,248,0,6.0
2023,Kia,Soul EV (180 Ah),Large,383,0,9.5
2023,Lexus,"RZ 450e AWD (18"" Wheels)",Large,354,0,10.0
2023,Lexus,"RZ 450e AWD (20"" Wheels)",Large,315,0,10.0
2023,Lucid,"Air Grand Touring XR (19"" Wheels)",Medium,830,0,13.0
2023,Lucid,"Air Grand Touring XR (20"" Wheels)",Medium,755,0,13.0
2023,Lucid,"Air Grand Touring XR (21"" Wheels)",Medium,755,0,13.0
2023,Lucid,"Air Grand Touring Performance (21"" Wheels)",Medium,718,0,13.0
2023,Lucid,"Air Pure (19"" Wheels)",Medium,660,0,10.0
2023,Lucid,"Air Pure (20"" Wheels)",Medium,618,0,10.0
2023,Lucid,"Air Touring (19"" Wheels)",Medium,684,0,10.0
2023,Lucid,"Air Touring (20"" Wheels)",Medium,618,0,10.0
2023,Lucid,"Air Touring (21"" Wheels)",Medium,618,0,10.0
2023,Mazda,MX-30,Medium,161,0,5.3
2023,Mercedes-Benz,AMG EQE 4MATIC+ Sedan,Medium,362,0,9.5
2023,Mercedes-Benz,AMG EQS 4MATIC+ Sedan,Medium,446,0,11.25
2023,Mercedes-Benz,EQB 250+,Large,394,0,7.75
2023,Mercedes-Benz,EQB 350 4MATIC SUV,Large,356,0,6.25
2023,Mercedes-Benz,EQE 350 4MATIC Sedan,Medium,418,0,8.25
2023,Mercedes-Benz,EQE 350 4MATIC SUV,Large,407,0,9.5
2023,Mercedes-Benz,EQE 500 4MATIC Sedan,Medium,418,0,9.5
2023,Mercedes-Benz,EQE 500 4MATIC SUV,Large,433,0,9.5
2023,Mercedes-Benz,EQS 450 4MATIC Sedan,Medium,547,0,11.5
2023,Mercedes-Benz,EQS 450 4MATIC SUV,Large,459,0,11.5
2023,Mercedes-Benz,EQS 580 4MATIC Sedan,Medium,547,0,11.25
2023,Mercedes-Benz,EQS 580 4MATIC SUV,Large,459,0,11.5
2023,MINI,Cooper SE 3 Door,Small,183,0,4.0
2023,Polestar,2 Single Motor,Medium,435,0,8.0
2023,Polestar,2 Dual Motor,Medium,418,0,8.0
2023,Polestar,2 Dual Motor Performance Pack,Medium,418,0,8.0
2023,Polestar,2 BST Edition,Medium,397,0,8.0
2023,Porsche,Taycan 4S (Performance Battery),Small,332,0,9.5
2023,Porsche,Taycan 4S (Performance Battery Plus),Small,378,0,10.5
2023,Porsche,Taycan 4S Cross Turismo,Medium,370,0,10.5
2023,Porsche,Taycan GTS,Small,396,0,10.5
2023,Porsche,Taycan GTS Sport Turismo,Small,322,0,10.5
2023,Porsche,Taycan Turbo,Small,383,0,10.5
2023,Porsche,Taycan Turbo Cross Turismo,Medium,375,0,10.5
2023,Porsche,Taycan Turbo S,Small,357,0,10.5
2023,Porsche,Taycan Turbo S Cross Turismo,Medium,357,0,10.5
2023,Rivian,"R1S (20"" Wheels)",Large,465,0,13.0
2023,Rivian,"R1S (20"" Wheels) All-Terrain",Large,441,0,13.0
2023,Rivian,"R1S (20"" Wheels) AT Dual Large",Large,494,0,13.0
2023,Rivian,"R1S (20"" Wheels) AT Performance Dual Large",Large,494,0,13.0
2023,Rivian,"R1S (20"" Wheels) AT Dual Max",Large,571,0,13.0
2023,Rivian,"R1S (20"" Wheels) AT Performance Dual Max",Large,571,0,13.0
2023,Rivian,"R1S (21"" Wheels)",Large,517,0,13.0
2023,Rivian,"R1S (21"" Wheels) Dual Large",Large,566,0,13.0
2023,Rivian,"R1S (21"" Wheels) Performance Dual Large",Large,566,0,13.0
2023,Rivian,"R1S (21"" Wheels) Dual Max",Large,644,0,13.0
2023,Rivian,"R1S (21"" Wheels) Performance Dual Max",Large,644,0,13.0
2023,Rivian,"R1S (22"" Wheels)",Large,488,0,13.0
2023,Rivian,"R1S (22"" Wheels) Dual Large",Large,549,0,13.0
2023,Rivian,"R1S (22"" Wheels) Performance Dual Large",Large,549,0,13.0
2023,Rivian,"R1S (22"" Wheels) Dual Max",Large,612,0,13.0
2023,Rivian,"R1S (22"" Wheels) Performance Dual Max",Large,612,0,13.0
2023,Rivian,"R1T (20"" Wheels)",Large,465,0,13.0
2023,Rivian,"R1T (20"" Wheels) All-Terrain",Large,441,0,13.0
2023,Rivian,"R1T (20"" Wheels) AT Dual Large",Large,494,0,13.0
2023,Rivian,"R1T (20"" Wheels) AT Performance Dual Large",Large,494,0,13.0
2023,Rivian,"R1T (20"" Wheels) AT Dual Max",Large,571,0,13.0
2023,Rivian,"R1T (20"" Wheels) AT Performance Dual Max",Large,571,0,13.0
2023,Rivian,"R1T (21"" Wheels)",Large,528,0,13.0
